order_id,customer_id,amount,ordered_at,status,file_id
5001,202,50,2026-06-27,paid,orders_06.csv
5002,111,15,2026-06-23,paid,orders_06.csv
5003,362,80,2026-06-07,paid,orders_06.csv
5004,178,10,2026-06-13,paid,orders_06.csv
5005,37,80,2026-06-01,paid,orders_06.csv
5006,84,10,2026-06-14,paid,orders_06.csv
5007,196,120,2026-06-22,cancelled,orders_06.csv
5008,145,50,2026-06-22,paid,orders_06.csv
5009,151,10,2026-06-23,fulfilled,orders_06.csv
5010,81,20,2026-06-06,fulfilled,orders_06.csv
5011,135,20,2026-06-01,paid,orders_06.csv
5012,166,15,2026-06-18,paid,orders_06.csv
5013,159,15,2026-06-29,paid,orders_06.csv
5014,1,20,2026-06-06,fulfilled,orders_06.csv
5015,244,20,2026-06-03,cancelled,orders_06.csv
5016,103,15,2026-06-21,cancelled,orders_06.csv
5017,3,10,2026-06-25,paid,orders_06.csv
5018,46,15,2026-06-27,fulfilled,orders_06.csv
5019,22,35,2026-06-19,paid,orders_06.csv
5020,156,80,2026-06-10,paid,orders_06.csv
5021,300,50,2026-06-03,paid,orders_06.csv
5022,367,120,2026-06-22,cancelled,orders_06.csv
5023,392,20,2026-06-13,fulfilled,orders_06.csv
5024,146,80,2026-06-05,cancelled,orders_06.csv
5025,75,10,2026-06-21,cancelled,orders_06.csv
5026,220,80,2026-06-21,cancelled,orders_06.csv
5027,269,120,2026-06-05,cancelled,orders_06.csv
5028,9,120,2026-06-19,cancelled,orders_06.csv
5029,365,80,2026-06-26,paid,orders_06.csv
5030,16,10,2026-06-03,paid,orders_06.csv
5031,185,10,2026-06-21,fulfilled,orders_06.csv
5032,232,50,2026-06-27,paid,orders_06.csv
5033,10,80,2026-06-21,cancelled,orders_06.csv
5034,126,35,2026-06-22,paid,orders_06.csv
5035,234,120,2026-06-01,paid,orders_06.csv
5036,258,50,2026-06-24,paid,orders_06.csv
5037,270,10,2026-06-22,fulfilled,orders_06.csv
5038,39,120,2026-06-09,paid,orders_06.csv
5039,374,120,2026-06-08,paid,orders_06.csv
5040,379,80,2026-06-08,fulfilled,orders_06.csv
5041,196,10,2026-06-16,fulfilled,orders_06.csv
5042,351,20,2026-06-30,paid,orders_06.csv
5043,324,80,2026-06-20,paid,orders_06.csv
5044,308,15,2026-06-03,paid,orders_06.csv
5045,334,80,2026-06-09,paid,orders_06.csv
5046,291,15,2026-06-20,paid,orders_06.csv
5047,32,35,2026-06-16,paid,orders_06.csv
5048,51,80,2026-06-22,paid,orders_06.csv
5049,251,20,2026-06-22,cancelled,orders_06.csv
5050,238,35,2026-06-10,fulfilled,orders_06.csv
5051,61,50,2026-06-25,paid,orders_06.csv
5052,44,35,2026-06-10,paid,orders_06.csv
5053,235,10,2026-06-10,cancelled,orders_06.csv
5054,138,35,2026-06-15,paid,orders_06.csv
5055,108,10,2026-06-30,cancelled,orders_06.csv
5056,73,80,2026-06-03,cancelled,orders_06.csv
5057,185,15,2026-06-09,cancelled,orders_06.csv
5058,324,50,2026-06-27,paid,orders_06.csv
5059,58,80,2026-06-29,paid,orders_06.csv
5060,255,35,2026-06-08,fulfilled,orders_06.csv
5061,82,10,2026-06-01,fulfilled,orders_06.csv
5062,231,35,2026-06-22,paid,orders_06.csv
5063,73,35,2026-06-24,paid,orders_06.csv
5064,162,10,2026-06-13,paid,orders_06.csv
5065,167,120,2026-06-01,paid,orders_06.csv
5066,204,10,2026-06-27,paid,orders_06.csv
5067,7,80,2026-06-23,paid,orders_06.csv
5068,191,10,2026-06-09,fulfilled,orders_06.csv
5069,302,10,2026-06-13,paid,orders_06.csv
5070,220,120,2026-06-30,paid,orders_06.csv
5071,25,20,2026-06-28,paid,orders_06.csv
5072,339,20,2026-06-02,paid,orders_06.csv
5073,137,35,2026-06-08,cancelled,orders_06.csv
5074,98,120,2026-06-11,paid,orders_06.csv
5075,220,10,2026-06-26,fulfilled,orders_06.csv
5076,284,50,2026-06-30,paid,orders_06.csv
5077,42,10,2026-06-24,fulfilled,orders_06.csv
5078,315,120,2026-06-15,paid,orders_06.csv
5079,147,35,2026-06-21,paid,orders_06.csv
5080,282,15,2026-06-30,paid,orders_06.csv
5081,213,20,2026-06-16,paid,orders_06.csv
5082,131,80,2026-06-10,paid,orders_06.csv
5083,336,15,2026-06-13,paid,orders_06.csv
5084,286,80,2026-06-16,fulfilled,orders_06.csv
5085,86,80,2026-06-04,paid,orders_06.csv
5086,107,50,2026-06-03,fulfilled,orders_06.csv
5087,113,35,2026-06-18,paid,orders_06.csv
5088,231,35,2026-06-25,paid,orders_06.csv
5089,99,15,2026-06-18,paid,orders_06.csv
5090,176,50,2026-06-06,paid,orders_06.csv
5091,123,20,2026-06-11,paid,orders_06.csv
5092,292,15,2026-06-26,paid,orders_06.csv
5093,212,35,2026-06-24,fulfilled,orders_06.csv
5094,269,15,2026-06-24,fulfilled,orders_06.csv
5095,174,120,2026-06-09,paid,orders_06.csv
5096,143,50,2026-06-16,paid,orders_06.csv
5097,352,50,2026-06-05,cancelled,orders_06.csv
5098,111,10,2026-06-21,paid,orders_06.csv
5099,128,35,2026-06-29,fulfilled,orders_06.csv
5100,229,35,2026-06-21,paid,orders_06.csv
5101,12,15,2026-06-28,paid,orders_06.csv
5102,364,120,2026-06-14,fulfilled,orders_06.csv
5103,251,10,2026-06-19,paid,orders_06.csv
5104,271,120,2026-06-13,fulfilled,orders_06.csv
5105,128,120,2026-06-15,paid,orders_06.csv
5106,80,15,2026-06-08,cancelled,orders_06.csv
5107,56,120,2026-06-22,fulfilled,orders_06.csv
5108,283,120,2026-06-03,paid,orders_06.csv
5109,65,15,2026-06-01,cancelled,orders_06.csv
5110,20,80,2026-06-30,paid,orders_06.csv
5111,321,20,2026-06-05,cancelled,orders_06.csv
5112,224,80,2026-06-21,paid,orders_06.csv
5113,37,20,2026-06-04,cancelled,orders_06.csv
5114,99,35,2026-06-19,paid,orders_06.csv
5115,308,10,2026-06-08,paid,orders_06.csv
5116,155,35,2026-06-18,paid,orders_06.csv
5117,331,120,2026-06-11,paid,orders_06.csv
5118,270,15,2026-06-16,cancelled,orders_06.csv
5119,15,35,2026-06-08,paid,orders_06.csv
5120,12,15,2026-06-02,fulfilled,orders_06.csv
5121,346,80,2026-06-29,fulfilled,orders_06.csv
5122,132,15,2026-06-03,fulfilled,orders_06.csv
5123,190,15,2026-06-30,fulfilled,orders_06.csv
5124,357,20,2026-06-02,fulfilled,orders_06.csv
5125,350,35,2026-06-12,paid,orders_06.csv
5126,150,80,2026-06-01,cancelled,orders_06.csv
5127,106,35,2026-06-03,paid,orders_06.csv
5128,393,120,2026-06-10,paid,orders_06.csv
5129,239,15,2026-06-08,paid,orders_06.csv
5130,152,10,2026-06-25,cancelled,orders_06.csv
5131,313,15,2026-06-16,paid,orders_06.csv
5132,214,80,2026-06-16,paid,orders_06.csv
5133,75,35,2026-06-20,paid,orders_06.csv
5134,13,50,2026-06-07,paid,orders_06.csv
5135,27,80,2026-06-14,paid,orders_06.csv
5136,202,35,2026-06-06,paid,orders_06.csv
5137,58,10,2026-06-24,paid,orders_06.csv
5138,98,15,2026-06-11,cancelled,orders_06.csv
5139,240,10,2026-06-24,paid,orders_06.csv
5140,372,35,2026-06-22,paid,orders_06.csv
5141,227,15,2026-06-11,paid,orders_06.csv
5142,41,20,2026-06-01,paid,orders_06.csv
5143,216,10,2026-06-12,cancelled,orders_06.csv
5144,107,35,2026-06-25,paid,orders_06.csv
5145,159,120,2026-06-25,fulfilled,orders_06.csv
5146,26,80,2026-06-03,fulfilled,orders_06.csv
5147,191,50,2026-06-07,fulfilled,orders_06.csv
5148,166,20,2026-06-07,fulfilled,orders_06.csv
5149,324,35,2026-06-01,paid,orders_06.csv
5150,321,120,2026-06-26,fulfilled,orders_06.csv
5151,193,10,2026-06-02,fulfilled,orders_06.csv
5152,32,20,2026-06-03,paid,orders_06.csv
5153,33,50,2026-06-24,paid,orders_06.csv
5154,140,20,2026-06-12,cancelled,orders_06.csv
5155,135,80,2026-06-02,paid,orders_06.csv
5156,142,20,2026-06-30,paid,orders_06.csv
5157,387,50,2026-06-24,paid,orders_06.csv
5158,120,10,2026-06-01,fulfilled,orders_06.csv
5159,239,120,2026-06-23,fulfilled,orders_06.csv
5160,129,35,2026-06-26,fulfilled,orders_06.csv
5161,255,15,2026-06-05,paid,orders_06.csv
5162,379,20,2026-06-26,paid,orders_06.csv
5163,121,20,2026-06-20,paid,orders_06.csv
5164,186,120,2026-06-15,cancelled,orders_06.csv
5165,263,15,2026-06-03,fulfilled,orders_06.csv
5166,82,15,2026-06-25,fulfilled,orders_06.csv
